Code,Name
1605,国際石油開発帝石  
1801,大成建設  
1928,積水ハウス  
2127,日本Ｍ＆Ａセンター  
2229,カルビー  
2269,明治ＨＤ  
2317,システナ  
2326,デジタルアーツ  
2371,カカクコム  
2413,エムスリー  
2432,ディー⋅エヌ⋅エー  
2502,アサヒグループＨＤ  
2587,サントリー食品インターナショナル  
2593,伊藤園  
2702,日本マクドナルドＨＤ  
2811,カゴメ  
2897,日清食品ＨＤ  
2914,日本たばこ産業  
3064,ＭｏｎｏｔａＲＯ  
3088,マツモトキヨシＨＤ  
3092,ＺＯＺＯ  
3197,すかいらーくＨＤ  
3382,セブン＆アイ⋅ＨＤ  
3563,スシローグローバルＨＤ  
3861,王子ＨＤ  
3923,ラクス  
3990,ＵＵＵＭ  
4063,信越化学工業  
4324,電通  
4344,ソースネクスト  
4384,ラクスル  
4385,メルカリ  
4452,花王  
4502,武田薬品工業  
4587,ペプチドリーム  
4661,オリエンタルランド  
4666,パーク２４  
4680,ラウンドワン  
4689,ＺＨＤ（旧ヤフー）
4751,サイバーエージェント  
4755,楽天  
4901,富士フイルムＨＤ  
4911,資生堂  
4974,タカラバイオ  
5020,ＪＸＴＧＨＤ  
5108,ブリヂストン  
5301,東海カーボン  
5401,日本製鉄
6098,リクルートＨＤ  
6301,小松製作所  
6326,クボタ  
6383,ダイフク  
6460,セガサミーＨＤ  
6501,日立製作所  
6594,日本電産  
6752,パナソニック  
6754,アンリツ  
6758,ソニー  
6861,キーエンス  
6954,ファナック  
6981,村田製作所  
7011,三菱重工業  
7203,トヨタ自動車  
7267,本田技研  
7270,ＳＵＢＡＲＵ  
7453,良品計画  
7532,パンパシフィックＨＤ  
7564,ワークマン  
7581,サイゼリヤ  
7606,ユナイテッドアローズ  
7747,朝日インテック  
7751,キヤノン  
7832,バンダイナムコＨＤ  
7956,ピジョン  
7974,任天堂  
8031,三井物産  
8035,東京エレクトロン  
8113,ユニ⋅チャーム  
8267,イオン  
8306,三菱ＵＦＪ　FG  
8411,みずほFG
8591,オリックス  
8766,東京海上ＨＤ  
8801,三井不動産  
9022,東海旅客鉄道  
9024,西武ＨＤ  
9064,ヤマトＨＤ  
9104,商船三井  
9202,ＡＮＡＨＤ  
9433,ＫＤＤＩ  
9474,ゼンリン  
9501,東京電力ＨＤ  
9603,ＨＩＳ  
9684,スクウェア⋅エニックス⋅ＨＤ  
9735,セコム  
9766,コナミＨＤ  
9843,ニトリＨＤ  
9861,吉野家ＨＤ  
9983,ファーストリテイリング  
9984,ソフトバンクグループ  